supplier_id,company_name,classification,ownership_percentage,distance_from_mine_km,registration_date,primary_category,secondary_category,annual_revenue_usd,certification_status,contact_person,phone,email,address,tax_id,employees_count,founded_year,website
SUP0001,Volta Enterprise Ltd,Ghanaian Owned,81.7,118.8,2010-05-20,Financial Services,Environmental Services,1745876.25,Certified,Allison Hill,321.581.9600,williamjohnson@example.org,"79402 Peterson Drives Apt. 511, Davisstad, PA 35172",TIN39958838,19,2010,www.voltaenterprise.com.gh
SUP0002,Blair PLC,International,0.0,3115.2,2007-10-24,Equipment Rental,Financial Services,111813536.64,,Thomas Miller,695-993-1034x1316,francisco53@example.net,"283 Steven Groves, Lake Mark, WI 07832",TIN83197857,1364,2007,www.company1.com
SUP0003,Underwood LLC Ghana Limited,Ghanaian Registered,19.7,213.0,2022-01-02,Office Supplies,Mechanical Services,2308602.9,Certified,Austin Gentry,001-553-676-7242,zhurst@example.com,"710 Eric Estate, Carlsonfurt, MS 78605",TIN13999315,30,2022,www.underwoodllcghana.com.gh
SUP0004,Rice-Maddox Ghana Limited,Ghanaian Participation,40.0,278.3,2010-05-05,Consulting Services,Equipment Parts,4029941.78,Not Certified,Alexandra Le,+1-384-651-4627x04828,ericfarmer@example.net,"USS George, FPO AA 03053",TIN13561597,36,2010,www.rice-maddoxghana.com.gh
SUP0005,West Africa Construction,Ghanaian Owned,60.4551,178.7,2017-02-28,Consulting Services,Civil Works,446340.25,,Jack Galloway,430-639-1171x8227,ibrandt@example.net,"5787 John Circles Suite 098, New Jeffrey, CA 93279",TIN47338124,4,2017,www.westafricaconstruction.com.gh
SUP0006,Ahafo Trading,Ghanaian Owned,86.9,194.4,2023-11-25,Training Services,Environmental Services,1262031.28,Certified,Crystal Whitehead,818-534-7382x99737,,"106 Mcbride Coves, East James, NV 18874",TIN38898923,21,2023,www.ahafotrading.com.gh
SUP0007,Brong Enterprise Ltd,Local-Local,98.1,15.8,2011-06-18,Electrical Services,Security Services,766791.06,,Donald Wright,478-810-8013,zolson@example.org,"4746 Moore Hill, North Beth, ND 08490",TIN56164955,9,2011,www.brongenterprise.com.gh
SUP0008,"Edwards, Williams and Woods",International,0.0,4026.4,2015-03-17,Fuel & Lubricants,Environmental Services,34170949.33,Certified,Kim Brown,312.819.1361x93990,sarah35@example.org,"475 Albert Road, North Amandahaven, KS 17862",TIN71662963,406,2015,www.company7.com
SUP0009,Ibarra-Suarez Ghana Ltd,Ghanaian Registered,19.6,247.8,2018-11-11,Electrical Services,Catering Services,3637872.06,Not Certified,Christopher Bass,001-449-680-8412x411,cassandra53@example.net,"740 Cynthia Village Suite 005, Lake Tina, GA 97655",TIN49349722,25,2018,www.ibarra-suarezghana.com.gh
SUP0010,Arnold-Patterson Ghana Limited,Ghanaian Registered,12.8,154.6,2008-03-27,Office Supplies,IT Services,3766182.56,Not Certified,Benjamin Ware,(280)659-8262,,"8692 Michelle Union, South Angel, WA 44041",TIN19335534,34,2008,www.arnold-pattersonghana.com.gh
SUP0011,Ahafo Supplies Limited,Local-Local,83.5,3.1,2010-05-09,Medical Services,Catering Services,534243.79,Certified,Jennifer Santiago,001-534-521-6073x3754,kellerraymond@example.com,"8685 Darrell Green Apt. 940, New Ryanmouth, NE 79958",TIN23556182,3,2010,www.ahafosupplies.com.gh
